RECNO,Name,StaadName,AX,D,B,T,Iz,Iy,Ix,Zx,Zy
86,"TUB122615.4","TUB122615.4",1.7850000000000001e+01,1.2200000000000000e+02,6.1000000000000000e+01,5.4000000000000004e+00,3.2082999999999998e+02,1.0703000000000000e+02,2.6358999999999997e+02,5.2600000000000001e+01,3.5090000000000003e+01
87,"TUB1001005.0","TUB1001005.0",1.8359999999999999e+01,1.0000000000000000e+02,1.0000000000000000e+02,5.0000000000000000e+00,2.7110000000000002e+02,2.7110000000000002e+02,4.2868000000000001e+02,5.4219999999999999e+01,5.4219999999999999e+01
88,"TUB1101104.5","TUB1101104.5",1.8469999999999999e+01,1.1000000000000000e+02,1.1000000000000000e+02,4.5000000000000000e+00,3.3763000000000000e+02,3.3763000000000000e+02,5.2584000000000003e+02,6.1390000000000001e+01,6.1390000000000001e+01
89,"TUB140804.5","TUB140804.5",1.8469999999999999e+01,1.4000000000000000e+02,8.0000000000000000e+01,4.5000000000000000e+00,4.7427999999999997e+02,1.9863000000000000e+02,4.4442000000000002e+02,6.7750000000000000e+01,4.9659999999999997e+01
90,"TUB1131134.5","TUB1131134.5",1.9100000000000001e+01,1.1300000000000000e+02,1.1300000000000000e+02,4.5000000000000000e+00,3.7288000000000000e+02,3.7288000000000000e+02,5.8275999999999999e+02,6.5709999999999994e+01,6.5709999999999994e+01
91,"TUB1101104.85","TUB1101104.85",1.9789999999999999e+01,1.1000000000000000e+02,1.1000000000000000e+02,4.9000000000000004e+00,3.5900000000000000e+02,3.5900000000000000e+02,5.6088999999999999e+02,6.5269999999999996e+01,6.5269999999999996e+01
92,"TUB140804.85","TUB140804.85",1.9789999999999999e+01,1.4000000000000000e+02,8.0000000000000000e+01,4.9000000000000004e+00,5.0443000000000001e+02,2.1084000000000000e+02,4.7351999999999998e+02,7.2060000000000002e+01,5.2710000000000001e+01
93,"TUB1131134.8","TUB1131134.8",2.0280000000000001e+01,1.1300000000000000e+02,1.1300000000000000e+02,4.7999999999999998e+00,3.9331000000000000e+02,3.9331000000000000e+02,6.1649000000000001e+02,6.9299999999999997e+01,6.9299999999999997e+01
94,"TUB145824.8","TUB145824.8",2.0280000000000001e+01,1.4500000000000000e+02,8.2000000000000000e+01,4.7999999999999998e+00,5.5515999999999997e+02,2.2850000000000000e+02,5.1729999999999995e+02,7.6569999999999993e+01,5.5729999999999997e+01
95,"TUB1251254.5","TUB1251254.5",2.1170000000000002e+01,1.2500000000000000e+02,1.2500000000000000e+02,4.5000000000000000e+00,5.0582999999999998e+02,5.0582999999999998e+02,7.8735000000000002e+02,8.0930000000000007e+01,8.0930000000000007e+01
96,"TUB1001006.0","TUB1001006.0",2.1629999999999999e+01,1.0000000000000000e+02,1.0000000000000000e+02,6.0000000000000000e+00,3.1147000000000003e+02,3.1147000000000003e+02,4.9835000000000002e+02,6.2289999999999999e+01,6.2289999999999999e+01
97,"TUB1101105.4","TUB1101105.4",2.1840000000000000e+01,1.1000000000000000e+02,1.1000000000000000e+02,5.4000000000000004e+00,3.9123000000000002e+02,3.9123000000000002e+02,6.1438000000000000e+02,7.1129999999999995e+01,7.1129999999999995e+01
98,"TUB140805.4","TUB140805.4",2.1840000000000000e+01,1.4000000000000000e+02,8.0000000000000000e+01,5.4000000000000004e+00,5.4992999999999995e+02,2.2916000000000000e+02,5.1776999999999998e+02,7.8560000000000002e+01,5.7289999999999999e+01
99,"TUB1301304.5","TUB1301304.5",2.2070000000000000e+01,1.3000000000000000e+02,1.3000000000000000e+02,4.5000000000000000e+00,5.7230999999999995e+02,5.7230999999999995e+02,8.8595000000000005e+02,8.8049999999999997e+01,8.8049999999999997e+01
