RECNO,Name,StaadName,AX,D,Bf,Tf,Tw,Iz,Iy,Ct,Ix,Zx,Zy,R1,R2,Rivet Dia,G,G1,h1
13,"ISMC150","ISMC150",2.0879999999999999e+01,1.5000000000000000e+02,7.5000000000000000e+01,9.0000000000000000e+00,5.4000000000000004e+00,7.7939999999999998e+02,1.0230000000000000e+02,2.2000000000000002e+00,4.5999999999999996e+00,1.1870000000000000e+02,3.2500000000000000e+01,1.0000000000000000e+01,5.0000000000000000e+00,2.5000000000000000e+01,4.0000000000000000e+01,55,1.0670000000000000e+02
14,"ISLC175","ISLC175",2.2399999999999999e+01,1.7500000000000000e+02,7.5000000000000000e+01,9.5000000000000000e+00,5.0999999999999996e+00,1.1484000000000001e+03,1.2650000000000000e+02,2.3999999999999999e+00,5.2000000000000002e+00,1.4890000000000001e+02,3.5700000000000003e+01,8.0000000000000000e+00,4.0000000000000000e+00,2.5000000000000000e+01,4.0000000000000000e+01,55,1.3859999999999999e+02
15,"ISMC175","ISMC175",2.4379999999999999e+01,1.7500000000000000e+02,7.5000000000000000e+01,1.0199999999999999e+01,5.7000000000000002e+00,1.2233000000000000e+03,1.2100000000000000e+02,2.2000000000000002e+00,6.5999999999999996e+00,1.5890000000000001e+02,3.8600000000000001e+01,1.0500000000000000e+01,5.5000000000000000e+00,2.5000000000000000e+01,4.0000000000000000e+01,55,1.2840000000000001e+02
16,"ISLC200","ISLC200",2.6219999999999999e+01,2.0000000000000000e+02,7.5000000000000000e+01,1.0800000000000001e+01,5.5000000000000000e+00,1.7255000000000000e+03,1.4690000000000001e+02,2.2999999999999998e+00,7.5999999999999996e+00,1.9700000000000000e+02,4.2500000000000000e+01,8.5000000000000000e+00,4.5000000000000000e+00,2.5000000000000000e+01,4.0000000000000000e+01,55,1.6000000000000000e+02
17,"ISMC200","ISMC200",2.8210000000000001e+01,2.0000000000000000e+02,7.5000000000000000e+01,1.1400000000000000e+01,6.0999999999999996e+00,1.8193000000000000e+03,1.4040000000000001e+02,2.2000000000000002e+00,9.1999999999999993e+00,2.0909999999999999e+02,4.5600000000000001e+01,1.1000000000000000e+01,5.5000000000000000e+00,2.5000000000000000e+01,4.0000000000000000e+01,60,1.5019999999999999e+02
18,"ISLC225","ISLC225",3.0530000000000001e+01,2.2500000000000000e+02,9.0000000000000000e+01,1.0199999999999999e+01,5.7999999999999998e+00,2.5479000000000001e+03,2.0950000000000000e+02,2.5000000000000000e+00,8.0999999999999996e+00,2.5789999999999998e+02,6.0700000000000003e+01,1.1000000000000000e+01,5.5000000000000000e+00,2.8000000000000000e+01,5.0000000000000000e+01,60,1.7590000000000001e+02
19,"ISMC225","ISMC225",3.3009999999999998e+01,2.2500000000000000e+02,8.0000000000000000e+01,1.2400000000000000e+01,6.4000000000000004e+00,2.6945999999999999e+03,1.8719999999999999e+02,2.2999999999999998e+00,1.2500000000000000e+01,2.7500000000000000e+02,5.7299999999999997e+01,1.2000000000000000e+01,6.0000000000000000e+00,2.5000000000000000e+01,4.5000000000000000e+01,60,1.7090000000000001e+02
20,"ISLC250","ISLC250",3.5649999999999999e+01,2.5000000000000000e+02,1.0000000000000000e+02,1.0699999999999999e+01,6.0999999999999996e+00,3.6879000000000001e+03,2.9839999999999998e+02,2.7000000000000002e+00,1.0400000000000000e+01,3.3569999999999999e+02,7.9299999999999997e+01,1.1000000000000000e+01,5.5000000000000000e+00,2.8000000000000000e+01,6.0000000000000000e+01,60,1.9890000000000001e+02
21,"ISMC250","ISMC250",3.8670000000000002e+01,2.5000000000000000e+02,8.0000000000000000e+01,1.4100000000000000e+01,7.0999999999999996e+00,3.8168000000000002e+03,2.1909999999999999e+02,2.2999999999999998e+00,1.8500000000000000e+01,3.5339999999999998e+02,6.7599999999999994e+01,1.2000000000000000e+01,6.0000000000000000e+00,2.5000000000000000e+01,4.5000000000000000e+01,65,1.9250000000000000e+02
22,"ISLC300","ISLC300",4.2109999999999999e+01,3.0000000000000000e+02,1.0000000000000000e+02,1.1600000000000000e+01,6.7000000000000002e+00,6.0478999999999996e+03,3.4600000000000000e+02,2.5000000000000000e+00,1.3800000000000001e+01,4.6289999999999998e+02,9.6200000000000003e+01,1.2000000000000000e+01,6.0000000000000000e+00,2.8000000000000000e+01,6.0000000000000000e+01,60,2.4540000000000001e+02
23,"ISMC300","ISMC300",4.5640000000000001e+01,3.0000000000000000e+02,9.0000000000000000e+01,1.3600000000000000e+01,7.5999999999999996e+00,6.3626000000000004e+03,3.1080000000000001e+02,2.3999999999999999e+00,2.0000000000000000e+01,4.9200000000000000e+02,9.2500000000000000e+01,1.3000000000000000e+01,6.5000000000000000e+00,2.8000000000000000e+01,5.0000000000000000e+01,65,2.4069999999999999e+02
24,"ISLC350","ISLC350",4.9469999999999999e+01,3.5000000000000000e+02,1.0000000000000000e+02,1.2500000000000000e+01,7.4000000000000004e+00,9.3126000000000004e+03,3.9460000000000002e+02,2.3999999999999999e+00,1.8300000000000001e+01,6.1729999999999995e+02,1.1350000000000000e+02,1.3000000000000000e+01,6.0000000000000000e+00,2.8000000000000000e+01,6.0000000000000000e+01,65,2.9189999999999998e+02
25,"ISMC350","ISMC350",5.3659999999999997e+01,3.5000000000000000e+02,1.0000000000000000e+02,1.3500000000000000e+01,8.0999999999999996e+00,1.0008000000000000e+04,4.3060000000000002e+02,2.3999999999999999e+00,2.3199999999999999e+01,6.6550000000000000e+02,1.2209999999999999e+02,1.4000000000000000e+01,7.0000000000000000e+00,2.8000000000000000e+01,6.0000000000000000e+01,65,2.8810000000000002e+02
26,"ISLC400","ISLC400",5.8250000000000000e+01,4.0000000000000000e+02,1.0000000000000000e+02,1.4000000000000000e+01,8.0000000000000000e+00,1.3989500000000000e+04,4.6039999999999998e+02,2.3999999999999999e+00,2.5800000000000001e+01,8.1720000000000005e+02,1.3269999999999999e+02,1.4000000000000000e+01,4.0000000000000000e+00,2.8000000000000000e+01,6.0000000000000000e+01,65,3.3710000000000002e+02
27,"ISMC400","ISMC400",6.2930000000000000e+01,4.0000000000000000e+02,1.0000000000000000e+02,1.5300000000000001e+01,8.5999999999999996e+00,1.5082799999999999e+04,5.0480000000000001e+02,2.3999999999999999e+00,3.3299999999999997e+01,8.8200000000000000e+02,1.4250000000000000e+02,1.5000000000000000e+01,7.5000000000000000e+00,2.8000000000000000e+01,6.0000000000000000e+01,70,3.3280000000000001e+02
