RECNO,Name,StaadName,AX,D,Bf,Tf,Tw,Iz,Ix,Ct,Iy,Zx,Zy
135,"I160016B50020","I160016B50020",6.2700000000000000e+02,1.6400000000000000e+03,5.0000000000000000e+02,1.6000000000000000e+01,2.0000000000000000e+01,2.8948220000000000e+06,6.1300000000000000e+02,0.0000000000000000e+00,5.9620000000000000e+04,3.8882000000000000e+04,3.1220000000000000e+03
136,"I160012D50016","I160012D50016",6.2700000000000000e+02,1.6320000000000000e+03,5.0000000000000000e+02,1.2000000000000000e+01,1.6000000000000000e+01,2.9877140000000000e+06,5.2600000000000000e+02,0.0000000000000000e+00,5.4326000000000000e+04,4.1053000000000000e+04,3.7810000000000000e+03
137,"I160016C55012","I160016C55012",6.2700000000000000e+02,1.6240000000000000e+03,5.5000000000000000e+02,1.6000000000000000e+01,1.2000000000000000e+01,2.7947310000000000e+06,5.4000000000000000e+02,0.0000000000000000e+00,5.4919000000000000e+04,3.8477000000000000e+04,3.0370000000000000e+03
138,"I160012C50020","I160012C50020",6.3100000000000000e+02,1.6400000000000000e+03,5.0000000000000000e+02,1.2000000000000000e+01,2.0000000000000000e+01,3.1129290000000000e+06,6.1700000000000000e+02,0.0000000000000000e+00,6.2607000000000000e+04,4.1478000000000000e+04,3.6290000000000000e+03
139,"I160012B55025","I160012B55025",6.3800000000000000e+02,1.6500000000000000e+03,5.5000000000000000e+02,1.2000000000000000e+01,2.5000000000000000e+01,3.2615950000000000e+06,7.9300000000000000e+02,0.0000000000000000e+00,8.6706000000000000e+04,4.2466000000000000e+04,4.3250000000000000e+03
140,"I125012B50032","I125012B50032",6.4100000000000000e+02,1.3140000000000000e+03,5.0000000000000000e+02,1.2000000000000000e+01,3.2000000000000000e+01,2.1333920000000000e+06,1.2930000000000000e+03,0.0000000000000000e+00,8.4044000000000000e+04,3.4649000000000000e+04,4.5310000000000000e+03
141,"I100012A50032","I100012A50032",6.4300000000000000e+02,1.0640000000000000e+03,5.0000000000000000e+02,1.2000000000000000e+01,3.2000000000000000e+01,1.3793010000000000e+06,1.3690000000000000e+03,0.0000000000000000e+00,7.5915000000000000e+04,2.8768000000000000e+04,5.0530000000000000e+03
142,"I100012A40040","I100012A40040",6.4300000000000000e+02,1.0800000000000000e+03,4.0000000000000000e+02,1.2000000000000000e+01,4.0000000000000000e+01,1.3927160000000000e+06,1.9840000000000000e+03,0.0000000000000000e+00,5.1915000000000000e+04,2.8896000000000000e+04,4.2530000000000000e+03
143,"I100012B55032","I100012B55032",6.4300000000000000e+02,1.0640000000000000e+03,5.5000000000000000e+02,1.2000000000000000e+01,3.2000000000000000e+01,1.4293690000000000e+06,1.3870000000000000e+03,0.0000000000000000e+00,1.0610700000000000e+05,2.8475000000000000e+04,5.3620000000000000e+03
144,"I160012A50025","I160012A50025",6.4500000000000000e+02,1.6500000000000000e+03,5.0000000000000000e+02,1.2000000000000000e+01,2.5000000000000000e+01,3.2260640000000000e+06,8.3200000000000000e+02,0.0000000000000000e+00,6.1340000000000000e+04,4.3340000000000000e+04,4.2000000000000000e+03
145,"I125016B55025","I125016B55025",6.4600000000000000e+02,1.3000000000000000e+03,5.5000000000000000e+02,1.6000000000000000e+01,2.5000000000000000e+01,2.0011650000000000e+06,8.7200000000000000e+02,0.0000000000000000e+00,8.7264000000000000e+04,3.3231000000000000e+04,4.3810000000000000e+03
146,"I160016B55020","I160016B55020",6.4700000000000000e+02,1.6400000000000000e+03,5.5000000000000000e+02,1.6000000000000000e+01,2.0000000000000000e+01,3.0260490000000000e+06,6.4000000000000000e+02,0.0000000000000000e+00,7.3412000000000000e+04,4.0502000000000000e+04,3.6470000000000000e+03
147,"I80016A50032","I80016A50032",6.5100000000000000e+02,8.6400000000000000e+02,5.0000000000000000e+02,1.6000000000000000e+01,3.2000000000000000e+01,8.8428100000000000e+05,1.4210000000000000e+03,0.0000000000000000e+00,7.6341000000000000e+04,2.3098000000000000e+04,5.1090000000000000e+03
148,"I160012A40032","I160012A40032",6.5100000000000000e+02,1.6640000000000000e+03,4.0000000000000000e+02,1.2000000000000000e+01,3.2000000000000000e+01,3.2803530000000000e+06,1.1850000000000000e+03,0.0000000000000000e+00,4.3390000000000000e+04,4.3917000000000000e+04,3.6350000000000000e+03
149,"I80016B55032","I80016B55032",6.5100000000000000e+02,8.6400000000000000e+02,5.5000000000000000e+02,1.6000000000000000e+01,3.2000000000000000e+01,9.2316100000000000e+05,1.4390000000000000e+03,0.0000000000000000e+00,1.0666000000000000e+05,2.2805000000000000e+04,5.4110000000000000e+03
150,"I160016D50012","I160016D50012",6.5100000000000000e+02,1.6240000000000000e+03,5.0000000000000000e+02,1.6000000000000000e+01,1.2000000000000000e+01,2.8592090000000000e+06,5.7300000000000000e+02,0.0000000000000000e+00,4.6719000000000000e+04,4.0357000000000000e+04,3.3800000000000000e+03
151,"I100016B50032","I100016B50032",6.5100000000000000e+02,1.0640000000000000e+03,5.0000000000000000e+02,1.6000000000000000e+01,3.2000000000000000e+01,1.3774730000000000e+06,1.3570000000000000e+03,0.0000000000000000e+00,8.4600000000000000e+04,2.7824000000000000e+04,4.5840000000000000e+03
152,"I160012C55020","I160012C55020",6.5100000000000000e+02,1.6400000000000000e+03,5.5000000000000000e+02,1.2000000000000000e+01,2.0000000000000000e+01,3.2441560000000000e+06,6.4400000000000000e+02,0.0000000000000000e+00,7.6399000000000000e+04,4.3098000000000000e+04,4.1540000000000000e+03
153,"I80016A40040","I80016A40040",6.5100000000000000e+02,8.8000000000000000e+02,4.0000000000000000e+02,1.6000000000000000e+01,4.0000000000000000e+01,8.9513500000000000e+05,2.0350000000000000e+03,0.0000000000000000e+00,5.2341000000000000e+04,2.3226000000000000e+04,4.3090000000000000e+03
154,"I125016A50025","I125016A50025",6.5300000000000000e+02,1.3000000000000000e+03,5.0000000000000000e+02,1.6000000000000000e+01,2.5000000000000000e+01,1.9670190000000000e+06,9.1100000000000000e+02,0.0000000000000000e+00,6.1773000000000000e+04,3.3982000000000000e+04,4.2630000000000000e+03
155,"I160016C50016","I160016C50016",6.5500000000000000e+02,1.6320000000000000e+03,5.0000000000000000e+02,1.6000000000000000e+01,1.6000000000000000e+01,2.9818120000000000e+06,6.1300000000000000e+02,0.0000000000000000e+00,5.4978000000000000e+04,4.0766000000000000e+04,3.2220000000000000e+03
156,"I125016A40032","I125016A40032",6.5900000000000000e+02,1.3140000000000000e+03,4.0000000000000000e+02,1.6000000000000000e+01,3.2000000000000000e+01,2.0029470000000000e+06,1.2640000000000000e+03,0.0000000000000000e+00,4.3823000000000000e+04,3.4454000000000000e+04,3.6980000000000000e+03
157,"I160016A50020","I160016A50020",6.5900000000000000e+02,1.6400000000000000e+03,5.0000000000000000e+02,1.6000000000000000e+01,2.0000000000000000e+01,3.0243430000000000e+06,7.0400000000000000e+02,0.0000000000000000e+00,5.1368000000000000e+04,4.1788000000000000e+04,3.6600000000000000e+03
158,"I160016A40025","I160016A40025",6.5900000000000000e+02,1.6500000000000000e+03,4.0000000000000000e+02,1.6000000000000000e+01,2.5000000000000000e+01,3.0324930000000000e+06,8.5400000000000000e+02,0.0000000000000000e+00,3.6368000000000000e+04,4.1838000000000000e+04,3.1600000000000000e+03
159,"I80012B50040","I80012B50040",6.6700000000000000e+02,8.8000000000000000e+02,5.0000000000000000e+02,1.2000000000000000e+01,4.0000000000000000e+01,1.0027700000000000e+06,2.3080000000000000e+03,0.0000000000000000e+00,1.0070500000000000e+05,2.4322000000000000e+04,5.5150000000000000e+03
160,"I160012D50020","I160012D50020",6.6700000000000000e+02,1.6400000000000000e+03,5.0000000000000000e+02,1.2000000000000000e+01,2.0000000000000000e+01,3.2553650000000000e+06,6.5600000000000000e+02,0.0000000000000000e+00,6.2659000000000000e+04,4.4325000000000000e+04,4.2810000000000000e+03
161,"I160016C55016","I160016C55016",6.7100000000000000e+02,1.6320000000000000e+03,5.5000000000000000e+02,1.6000000000000000e+01,1.6000000000000000e+01,3.0862740000000000e+06,6.2700000000000000e+02,0.0000000000000000e+00,6.6011000000000000e+04,4.2058000000000000e+04,3.6420000000000000e+03
