RECNO,Name,StaadName,D,B,T,AX,Rz,R1
52,"ISA70X70X5","ISA70X70X5",7.0000000000000000e+01,7.0000000000000000e+01,5.0000000000000000e+00,6.7699999999999996e+00,1.3600000000000000e+01,7.0000000000000000e+00
53,"ISA60X60X6","ISA60X60X6",6.0000000000000000e+01,6.0000000000000000e+01,6.0000000000000000e+00,6.8399999999999999e+00,1.1500000000000000e+01,6.5000000000000000e+00
54,"ISA75X50X6","ISA75X50X6",7.5000000000000000e+01,5.0000000000000000e+01,6.0000000000000000e+00,7.1600000000000001e+00,1.0699999999999999e+01,6.5000000000000000e+00
55,"ISA75X75X5","ISA75X75X5",7.5000000000000000e+01,7.5000000000000000e+01,5.0000000000000000e+00,7.2699999999999996e+00,1.4600000000000000e+01,7.0000000000000000e+00
56,"ISA60X40X8","ISA60X40X8",6.0000000000000000e+01,4.0000000000000000e+01,8.0000000000000000e+00,7.3700000000000001e+00,8.4000000000000004e+00,6.0000000000000000e+00
57,"ISA65X65X6","ISA65X65X6",6.5000000000000000e+01,6.5000000000000000e+01,6.0000000000000000e+00,7.4400000000000004e+00,1.2600000000000000e+01,6.5000000000000000e+00
58,"ISA80X50X6","ISA80X50X6",8.0000000000000000e+01,5.0000000000000000e+01,6.0000000000000000e+00,7.4600000000000000e+00,1.0699999999999999e+01,7.0000000000000000e+00
59,"ISA70X70X6","ISA70X70X6",7.0000000000000000e+01,7.0000000000000000e+01,6.0000000000000000e+00,8.0600000000000005e+00,1.3600000000000000e+01,7.0000000000000000e+00
60,"ISA65X45X8","ISA65X45X8",6.5000000000000000e+01,4.5000000000000000e+01,8.0000000000000000e+00,8.1699999999999999e+00,9.5000000000000000e+00,6.0000000000000000e+00
61,"ISA55X55X8","ISA55X55X8",5.5000000000000000e+01,5.5000000000000000e+01,8.0000000000000000e+00,8.1799999999999997e+00,1.0600000000000000e+01,6.5000000000000000e+00
62,"ISA70X45X8","ISA70X45X8",7.0000000000000000e+01,4.5000000000000000e+01,8.0000000000000000e+00,8.5800000000000001e+00,9.5000000000000000e+00,6.5000000000000000e+00
63,"ISA90X60X6","ISA90X60X6",9.0000000000000000e+01,6.0000000000000000e+01,6.0000000000000000e+00,8.6500000000000004e+00,1.2800000000000001e+01,7.5000000000000000e+00
64,"ISA75X75X6","ISA75X75X6",7.5000000000000000e+01,7.5000000000000000e+01,6.0000000000000000e+00,8.6600000000000001e+00,1.4600000000000000e+01,7.0000000000000000e+00
65,"ISA60X60X8","ISA60X60X8",6.0000000000000000e+01,6.0000000000000000e+01,8.0000000000000000e+00,8.9600000000000009e+00,1.1500000000000000e+01,6.5000000000000000e+00
66,"ISA80X80X6","ISA80X80X6",8.0000000000000000e+01,8.0000000000000000e+01,6.0000000000000000e+00,9.2899999999999991e+00,1.5600000000000000e+01,8.0000000000000000e+00
67,"ISA75X50X8","ISA75X50X8",7.5000000000000000e+01,5.0000000000000000e+01,8.0000000000000000e+00,9.3800000000000008e+00,1.0600000000000000e+01,6.5000000000000000e+00
68,"ISA100X65X6","ISA100X65X6",1.0000000000000000e+02,6.5000000000000000e+01,6.0000000000000000e+00,9.5500000000000007e+00,1.3900000000000000e+01,8.0000000000000000e+00
69,"ISA65X65X8","ISA65X65X8",6.5000000000000000e+01,6.5000000000000000e+01,8.0000000000000000e+00,9.7599999999999998e+00,1.2600000000000000e+01,6.5000000000000000e+00
70,"ISA80X50X8","ISA80X50X8",8.0000000000000000e+01,5.0000000000000000e+01,8.0000000000000000e+00,9.7799999999999994e+00,1.0600000000000000e+01,7.0000000000000000e+00
71,"ISA55X55X10","ISA55X55X10",5.5000000000000000e+01,5.5000000000000000e+01,1.0000000000000000e+01,1.0020000000000000e+01,1.0600000000000000e+01,6.5000000000000000e+00
72,"ISA100X75X6","ISA100X75X6",1.0000000000000000e+02,7.5000000000000000e+01,6.0000000000000000e+00,1.0140000000000001e+01,1.5900000000000000e+01,8.5000000000000000e+00
73,"ISA90X90X6","ISA90X90X6",9.0000000000000000e+01,9.0000000000000000e+01,6.0000000000000000e+00,1.0470000000000001e+01,1.7500000000000000e+01,8.5000000000000000e+00
74,"ISA70X45X10","ISA70X45X10",7.0000000000000000e+01,4.5000000000000000e+01,1.0000000000000000e+01,1.0520000000000000e+01,9.5000000000000000e+00,6.5000000000000000e+00
75,"ISA70X70X8","ISA70X70X8",7.0000000000000000e+01,7.0000000000000000e+01,8.0000000000000000e+00,1.0580000000000000e+01,1.3500000000000000e+01,7.0000000000000000e+00
76,"ISA60X60X10","ISA60X60X10",6.0000000000000000e+01,6.0000000000000000e+01,1.0000000000000000e+01,1.1000000000000000e+01,1.1500000000000000e+01,6.5000000000000000e+00
77,"ISA90X60X8","ISA90X60X8",9.0000000000000000e+01,6.0000000000000000e+01,8.0000000000000000e+00,1.1369999999999999e+01,1.2800000000000001e+01,7.5000000000000000e+00
78,"ISA75X75X8","ISA75X75X8",7.5000000000000000e+01,7.5000000000000000e+01,8.0000000000000000e+00,1.1380000000000001e+01,1.4500000000000000e+01,7.0000000000000000e+00
79,"ISA75X50X10","ISA75X50X10",7.5000000000000000e+01,5.0000000000000000e+01,1.0000000000000000e+01,1.1520000000000000e+01,1.0600000000000000e+01,6.5000000000000000e+00
80,"ISA125X75X6","ISA125X75X6",1.2500000000000000e+02,7.5000000000000000e+01,6.0000000000000000e+00,1.1660000000000000e+01,1.6199999999999999e+01,9.0000000000000000e+00
81,"ISA100X100X6","ISA100X100X6",1.0000000000000000e+02,1.0000000000000000e+02,6.0000000000000000e+00,1.1670000000000000e+01,1.9500000000000000e+01,8.5000000000000000e+00
82,"ISA65X65X10","ISA65X65X10",6.5000000000000000e+01,6.5000000000000000e+01,1.0000000000000000e+01,1.2000000000000000e+01,1.2500000000000000e+01,6.5000000000000000e+00
83,"ISA80X50X10","ISA80X50X10",8.0000000000000000e+01,5.0000000000000000e+01,1.0000000000000000e+01,1.2020000000000000e+01,1.0600000000000000e+01,7.0000000000000000e+00
